COMPANY NAME,RATING,REVIEWS,PACKAGE,INDUSTRY,BENEFITS,CONS,INDIA HQ,BRANCHES,TOTAL EMPLOYEES,COMPANY TYPE,YEAR OLD
TCS,3.4,(1.1L),9.4L,IT Services & Consulting,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Bangalore / Bengaluru,430 other locations,1 Lakh+  ,Public,56 years old
Accenture,3.7,(67.9k),6.3L,IT Services & Consulting,"Company Culture, Skill Development / Learning, Job Security",,Bangalore / Bengaluru,245 other locations,1 Lakh+  ,Public,35 years old
Wipro,3.7,(60.9k),4.6L,IT Services & Consulting,Skill Development / Learning,Promotions / Appraisal,Bangalore / Bengaluru,367 other locations,1 Lakh+  ,Forbes Global 2000,30 years old
Cognizant,3.7,(57.8k),5.8L,IT Services & Consulting,Job Security,"Promotions / Appraisal, Salary & Benefits",Hyderabad / Secunderabad,224 other locations,1 Lakh+  ,Public,79 years old
Capgemini,3.7,(49.5k),4.6L,IT Services & Consulting,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",Bangalore / Bengaluru,180 other locations,1 Lakh+  ,Public,57 years old
HDFC Bank,3.8,(47.9k),1.5L,Banking,"Job Security, Skill Development / Learning",Promotions / Appraisal,Mumbai,1778 other locations,1 Lakh+  ,Public,30 years old
Infosys,3.5,(45.5k),5.1L,IT Services & Consulting,"Job Security, Skill Development / Learning, Company Culture",,Bangalore / Bengaluru,239 other locations,1 Lakh+  ,Public,30 years old
ICICI Bank,4,(43.6k),1.5L,Banking,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",Mumbai,1416 other locations,1 Lakh+  ,Public,43 years old
HCLTech,3.4,(42.6k),3.6L,IT Services & Consulting,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Chennai,223 other locations,1 Lakh+  ,Public,33 years old
Tech Mahindra,3.4,(40.7k),2.8L,IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits",,Hyderabad / Secunderabad,328 other locations,1 Lakh+  ,Public,38 years old
Genpact,3.6,(39k),2.2L,IT Services & Consulting,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",Hyderabad / Secunderabad,173 other locations,1 Lakh+  ,Public,27 years old
Teleperformance,3.8,(35k),93.6k,BPO,Job Security,,Mumbai,251 other locations,50k-1 Lakh  ,Public,31 years old
Axis Bank,3.7,(30.8k),1L,Banking,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Mumbai,1479 other locations,50k-1 Lakh  ,Forbes Global 2000,46 years old
Concentrix Corporation,3.6,(30.3k),1.3L,BPO,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",Bangalore / Bengaluru,174 other locations,50k-1 Lakh  ,Public,41 years old
Jio,4.3,(29.6k),62.3k,Telecom,"Job Security, Skill Development / Learning",Promotions / Appraisal,Mumbai,1782 other locations,50k-1 Lakh  ,Public,17 years old
Amazon,4,(29.3k),1.4L,Internet,"Company Culture, Salary & Benefits, Work Life Balance",,Bangalore / Bengaluru,511 other locations,1 Lakh+  ,Public,30 years old
